  Year          Age             Female            Male           Total
  1878           0             33154.81        34467.41        67622.22
  1878           1             28683.26        29030.80        57714.06
  1878           2             26245.08        26268.93        52514.00
  1878           3             26326.33        26249.99        52576.33
  1878           4             25762.96        26061.18        51824.14
  1878           5             24091.84        24525.03        48616.87
  1878           6             23955.32        24083.14        48038.46
  1878           7             22746.91        22838.49        45585.40
  1878           8             22929.79        23090.12        46019.91
  1878           9             16509.52        16819.64        33329.16
  1878          10             17056.64        17373.27        34429.90
  1878          11             16265.73        16316.95        32582.67
  1878          12             17302.67        17345.55        34648.21
  1878          13             19622.81        19564.48        39187.29
  1878          14             20541.08        20543.35        41084.42
  1878          15             19690.34        19660.85        39351.19
  1878          16             18939.20        18765.81        37705.01
  1878          17             18767.64        18662.21        37429.86
  1878          18             18132.83        18258.72        36391.55
  1878          19             18066.74        18394.13        36460.87
  1878          20             17748.60        17947.14        35695.74
  1878          21             16842.33        16886.37        33728.70
  1878          22             16727.33        16800.90        33528.23
  1878          23             16996.67        16926.59        33923.26
  1878          24             17016.26        16832.84        33849.10
  1878          25             16703.88        16529.34        33233.22
  1878          26             16569.06        16036.39        32605.45
  1878          27             16262.42        15482.38        31744.80
  1878          28             15934.68        15222.73        31157.41
  1878          29             15920.00        15170.97        31090.98
  1878          30             15354.69        14659.29        30013.98
  1878          31             14633.80        14041.16        28674.96
  1878          32             14612.15        14043.02        28655.17
  1878          33             14665.66        14058.57        28724.23
  1878          34             14745.55        13998.19        28743.74
  1878          35             14844.57        14109.44        28954.02
  1878          36             14149.14        13445.50        27594.64
  1878          37             13355.39        12614.33        25969.72
  1878          38             12901.34        12254.97        25156.30
  1878          39             12587.59        12026.50        24614.09
  1878          40             12009.80        11407.94        23417.74
  1878          41             11360.30        10743.98        22104.28
  1878          42             11001.73        10413.81        21415.54
  1878          43             10983.70        10313.40        21297.10
  1878          44             10466.66         9755.85        20222.51
  1878          45              9880.18         9172.45        19052.63
  1878          46              9751.30         8930.02        18681.32
  1878          47              9756.92         8910.55        18667.47
  1878          48              9972.71         9103.25        19075.96
  1878          49             10322.89         9386.90        19709.78
