  Year          Age             Female            Male           Total
  1947           0           1122684.33      1170627.65      2293311.99
  1947           1            777084.07       800954.73      1578038.81
  1947           2            850240.20       869130.18      1719370.38
  1947           3            985174.15      1006138.49      1991312.64
  1947           4            953957.53       976682.56      1930640.09
  1947           5            995603.06      1020041.36      2015644.42
  1947           6            938904.39       959174.64      1898079.04
  1947           7            861118.64       878268.52      1739387.15
  1947           8            795426.89       811204.98      1606631.87
  1947           9            865593.84       884588.26      1750182.10
  1947          10            865473.58       884653.43      1750127.01
  1947          11            900203.29       916953.96      1817157.25
  1947          12            851257.71       866422.08      1717679.78
  1947          13            849373.80       864948.22      1714322.02
  1947          14            860148.30       875705.17      1735853.47
  1947          15            837853.47       852677.44      1690530.91
  1947          16            845054.03       858548.53      1703602.56
  1947          17            804562.26       810569.91      1615132.17
  1947          18            808402.98       803030.48      1611433.46
  1947          19            778086.89       770143.92      1548230.81
  1947          20            780392.44       768779.01      1549171.45
  1947          21            765397.08       728139.76      1493536.84
  1947          22            733782.22       663769.40      1397551.61
  1947          23            701308.41       591882.89      1293191.29
  1947          24            679250.05       532949.62      1212199.67
  1947          25            665710.10       504675.92      1170386.02
  1947          26            644828.33       489113.18      1133941.51
  1947          27            627741.24       489407.51      1117148.75
  1947          28            554504.69       448025.65      1002530.34
  1947          29            556537.56       459207.27      1015744.83
  1947          30            557533.47       468924.87      1026458.34
  1947          31            561518.15       477721.47      1039239.61
  1947          32            552077.35       472855.94      1024933.29
  1947          33            550639.04       478033.01      1028672.05
  1947          34            533015.94       466322.71       999338.66
  1947          35            531785.02       467827.26       999612.28
  1947          36            520117.51       466783.01       986900.52
  1947          37            506283.84       464745.51       971029.35
  1947          38            492954.72       459869.45       952824.17
  1947          39            472388.40       451860.07       924248.48
  1947          40            451081.68       448626.11       899707.79
  1947          41            403386.91       408241.88       811628.79
  1947          42            402353.50       406493.66       808847.16
  1947          43            403725.10       410423.97       814149.06
  1947          44            409575.89       418351.93       827927.82
  1947          45            406400.69       418366.74       824767.43
  1947          46            394790.66       407953.87       802744.53
  1947          47            376568.47       389496.67       766065.13
  1947          48            357567.01       370955.27       728522.29
  1947          49            342857.70       357803.58       700661.28
  1947          50            326705.22       342354.42       669059.65
  1947          51            317788.94       332540.14       650329.08
  1947          52            307523.28       320368.69       627891.97
  1947          53            291860.19       301062.61       592922.79
  1947          54            281966.23       289126.00       571092.23
  1947          55            269168.20       273668.92       542837.12
  1947          56            261094.34       261008.53       522102.86
  1947          57            268444.03       264907.45       533351.48
  1947          58            267291.12       261059.85       528350.96
  1947          59            254793.07       244888.74       499681.81
  1947          60            234838.33       221281.61       456119.94
  1947          61            220637.19       202484.23       423121.43
  1947          62            221055.98       196869.68       417925.65
  1947          63            220520.30       189991.43       410511.73
  1947          64            214425.99       180333.33       394759.32
  1947          65            209364.90       173590.36       382955.26
  1947          66            200022.75       163625.52       363648.27
  1947          67            188425.17       151198.04       339623.21
  1947          68            181451.41       142404.41       323855.81
  1947          69            170792.14       131225.99       302018.12
  1947          70            160817.78       121474.67       282292.45
  1947          71            149059.92       109804.28       258864.21
  1947          72            132795.61        94944.41       227740.01
  1947          73            119605.06        83141.50       202746.56
  1947          74            106083.28        71951.85       178035.14
  1947          75             88763.49        59232.87       147996.35
  1947          76             72785.96        47158.29       119944.25
  1947          77             62459.25        38975.40       101434.64
  1947          78             58183.90        35259.42        93443.32
  1947          79             51440.65        30273.11        81713.77
  1947          80             42313.65        23793.55        66107.20
  1947          81             37702.59        20261.97        57964.55
  1947          82             32143.43        16572.87        48716.30
  1947          83             23470.10        11958.25        35428.35
  1947          84             16743.21         8157.91        24901.12
  1947          85             12366.54         5744.78        18111.31
  1947          86              9862.03         4542.32        14404.35
  1947          87              7981.41         3518.34        11499.74
  1947          88              6055.22         2654.80         8710.02
  1947          89              4517.26         1955.77         6473.03
  1947          90              3238.51         1324.44         4562.96
  1947          91              2223.49          857.51         3080.99
  1947          92              1532.60          554.16         2086.76
  1947          93               974.22          363.38         1337.60
  1947          94               620.43          244.32          864.75
  1947          95               369.15          146.60          515.76
  1947          96               219.76           86.22          305.98
  1947          97               148.57           60.03          208.60
  1947          98                86.54           43.69          130.23
  1947          99                41.01           24.52           65.53
  1947         100                23.01           10.34           33.34
  1947         101                15.00            4.00           19.00
  1947         102                 8.67            4.00           12.67
  1947         103                 6.83            1.33            8.17
  1947         104                 3.67            1.00            4.67
  1947         105                 2.17            2.00            4.17
  1947         106                 1.17            1.33            2.50
  1947         107                 1.00            1.33            2.33
  1947         108                 1.50            0.00            1.50
  1947         109                 1.17            0.50            1.67
  1947         110+                7.50            3.50           11.00
  1948           0           1259217.99      1317869.06      2577087.05
  1948           1           1075797.03      1117660.86      2193457.89
  1948           2            762716.22       786820.07      1549536.29
  1948           3            841986.38       861885.98      1703872.36
  1948           4            978313.15      1000264.70      1978577.84
  1948           5            949127.49       972119.54      1921247.04
  1948           6            991236.03      1015647.45      2006883.47
  1948           7            935188.64       956299.67      1891488.31
  1948           8            858610.07       876702.62      1735312.69
  1948           9            792947.18       809207.98      1602155.16
  1948          10            864781.47       883549.14      1748330.62
  1948          11            865143.36       883870.25      1749013.62
  1948          12            898650.59       916399.96      1815050.55
  1948          13            849443.44       865262.81      1714706.25
  1948          14            848311.47       864090.46      1712401.93
  1948          15            858177.83       873573.07      1731750.90
  1948          16            835158.79       849801.38      1684960.17
  1948          17            841722.11       853886.39      1695608.49
  1948          18            800141.63       804690.17      1604831.80
  1948          19            802804.90       796387.30      1599192.19
  1948          20            771898.61       764328.42      1536227.03
  1948          21            774907.16       761168.89      1536076.06
  1948          22            760168.93       722101.92      1482270.85
  1948          23            726683.17       658178.77      1384861.94
  1948          24            694465.46       588265.31      1282730.77
  1948          25            673123.03       530507.10      1203630.13
  1948          26            659352.15       501933.02      1161285.17
  1948          27            639199.84       486804.46      1126004.30
  1948          28            623222.83       488018.72      1111241.54
  1948          29            550185.32       445211.02       995396.34
  1948          30            552271.49       456362.44      1008633.94
  1948          31            553920.83       466202.70      1020123.53
  1948          32            558563.58       475393.44      1033957.02
  1948          33            548575.20       471202.63      1019777.83
  1948          34            547225.34       476400.04      1023625.38
  1948          35            530252.49       464768.70       995021.19
  1948          36            530065.36       467232.64       997298.00
  1948          37            515854.72       463764.54       979619.27
  1948          38            501235.58       460914.79       962150.37
  1948          39            489092.96       456265.19       945358.15
  1948          40            468221.04       448397.01       916618.04
  1948          41            447982.85       444732.34       892715.19
  1948          42            399527.71       403255.51       802783.21
  1948          43            399310.98       402273.98       801584.96
  1948          44            400407.37       406339.37       806746.73
  1948          45            406161.88       414068.47       820230.35
  1948          46            403215.87       414011.51       817227.38
  1948          47            391077.77       402787.21       793864.98
  1948          48            372252.45       383755.94       756008.39
  1948          49            352673.37       365050.62       717723.99
  1948          50            338883.17       352510.95       691394.12
  1948          51            323494.91       337359.04       660853.95
  1948          52            314744.44       327196.22       641940.66
  1948          53            303759.00       314035.49       617794.48
  1948          54            287866.20       295268.33       583134.53
  1948          55            278051.68       283561.72       561613.40
  1948          56            266060.87       268515.91       534576.78
  1948          57            258139.84       255796.95       513936.78
  1948          58            264904.39       258888.07       523792.46
  1948          59            263041.70       253991.48       517033.18
  1948          60            249756.17       238106.51       487862.68
  1948          61            229906.56       213898.49       443805.04
  1948          62            216009.44       195510.37       411519.81
  1948          63            216107.64       189648.29       405755.93
  1948          64            214329.44       182128.58       396458.02
  1948          65            208114.67       172230.99       380345.66
  1948          66            202847.76       165611.41       368459.16
  1948          67            192304.64       154861.28       347165.92
  1948          68            180928.38       142676.70       323605.08
  1948          69            174040.46       133937.49       307977.94
  1948          70            162998.16       122841.16       285839.32
  1948          71            153001.64       113045.28       266046.92
  1948          72            140740.72       101289.54       242030.26
  1948          73            124273.88        86889.14       211163.02
  1948          74            111477.00        75580.32       187057.31
  1948          75             98395.98        65186.18       163582.16
  1948          76             81912.50        53288.19       135200.68
  1948          77             66545.65        42087.46       108633.12
  1948          78             56691.09        34308.58        90999.67
  1948          79             52530.33        30691.62        83221.95
  1948          80             46805.84        26544.45        73350.29
  1948          81             36969.79        20097.42        57067.21
  1948          82             32578.88        16862.11        49440.99
  1948          83             27267.45        13618.36        40885.82
  1948          84             19630.49         9703.35        29333.84
  1948          85             13847.70         6530.00        20377.70
  1948          86             10046.81         4460.24        14507.06
  1948          87              7857.55         3436.45        11294.00
  1948          88              6254.66         2656.25         8910.91
  1948          89              4638.56         1961.05         6599.62
  1948          90              3383.66         1407.69         4791.35
  1948          91              2374.14          937.69         3311.83
  1948          92              1613.99          580.54         2194.53
  1948          93              1067.55          375.64         1443.19
  1948          94               667.80          240.92          908.72
  1948          95               406.58          160.73          567.31
  1948          96               241.72           88.54          330.26
  1948          97               140.36           54.52          194.88
  1948          98                87.01           36.50          123.51
  1948          99                52.84           22.17           75.01
  1948         100                25.00           10.33           35.33
  1948         101                13.83            4.50           18.33
  1948         102                 9.17            3.00           12.17
  1948         103                 5.33            1.83            7.17
  1948         104                 3.00            0.17            3.17
  1948         105                 1.67            0.50            2.17
  1948         106                 1.00            0.17            1.17
  1948         107                 0.83            0.83            1.67
  1948         108                 0.50            0.50            1.00
  1948         109                 1.00            0.00            1.00
  1948         110+                5.17            1.00            6.17
  1949           0           1254864.45      1312382.49      2567246.94
  1949           1           1218805.99      1269859.35      2488665.35
  1949           2           1061098.25      1104200.26      2165298.51
  1949           3            757806.11       783748.24      1541554.35
  1949           4            838819.52       860887.93      1699707.45
